,model_type,model,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_EUR_down,precision_EUR_same,precision_EUR_up,support_EUR_down,support_EUR_same,support_EUR_up,report,elapsed_time
0,clf,kn,basic,ALL_NO_1_1_1,60_180,included,basic,0.60,{'n_neighbors': 41},0.61,0.63,0.61,0.58,0.75,316.00,624.00,352.00,"{'0': {'precision': 0.6111111111111112, 'recall': 0.3829113924050633, 'f1-score': 0.4708171206225681, 'support': 316}, '1': {'precision': 0.5819761129207384, 'recall': 0.8589743589743589, 'f1-score': 0.6938511326860842, 'support': 624}, '2': {'precision': 0.7456647398843931, 'recall': 0.3664772727272727, 'f1-score': 0.4914285714285714, 'support': 352}, 'micro avg': {'precision': 0.608359133126935, 'recall': 0.608359133126935, 'f1-score': 0.608359133126935, 'support': 1292}, 'macro avg': {'precision': 0.6462506546387475, 'recall': 0.536121008035565, 'f1-score': 0.5520322749124079, 'support': 1292}, 'weighted avg': {'precision': 0.633698292579689, 'recall': 0.608359133126935, 'f1-score': 0.5841518375044158, 'support': 1292}}",5.84
1,clf,svc-rbf,basic,ALL_NO_1_1_1,60_180,included,basic,0.50,"{'C': 1, 'gamma': 1}",0.48,0.23,0.00,0.48,0.00,316.00,624.00,352.00,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 316}, '1': {'precision': 0.48297213622291024, 'recall': 1.0, 'f1-score': 0.651356993736952, 'support': 624}, '2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 352}, 'micro avg': {'precision': 0.48297213622291024, 'recall': 0.48297213622291024, 'f1-score': 0.48297213622291024, 'support': 1292}, 'macro avg': {'precision': 0.1609907120743034, 'recall': 0.3333333333333333, 'f1-score': 0.21711899791231734, 'support': 1292}, 'weighted avg': {'precision': 0.23326208436772136, 'recall': 0.48297213622291024, 'f1-score': 0.31458727870886843, 'support': 1292}}",8.91
2,clf,dtree,basic,ALL_NO_1_1_1,60_180,included,basic,0.64,"{'max_depth': 3, 'min_samples_leaf': 150}",0.64,0.67,0.68,0.60,0.77,316.00,624.00,352.00,"{'0': {'precision': 0.6755555555555556, 'recall': 0.4810126582278481, 'f1-score': 0.5619223659889094, 'support': 316}, '1': {'precision': 0.6013590033975085, 'recall': 0.8509615384615384, 'f1-score': 0.7047113470471135, 'support': 624}, '2': {'precision': 0.7717391304347826, 'recall': 0.4034090909090909, 'f1-score': 0.5298507462686567, 'support': 352}, 'micro avg': {'precision': 0.6385448916408669, 'recall': 0.6385448916408669, 'f1-score': 0.6385448916408669, 'support': 1292}, 'macro avg': {'precision': 0.6828845631292823, 'recall': 0.5784610958661591, 'f1-score': 0.5988281531015599, 'support': 1292}, 'weighted avg': {'precision': 0.6659255012296009, 'recall': 0.6385448916408669, 'f1-score': 0.6221476864523694, 'support': 1292}}",0.47
3,clf,rforest,basic,ALL_NO_1_1_1,60_180,included,basic,0.64,"{'max_depth': 7, 'min_samples_leaf': 30, 'n_estimators': 10}",0.63,0.64,0.66,0.62,0.67,316.00,624.00,352.00,"{'0': {'precision': 0.6550218340611353, 'recall': 0.47468354430379744, 'f1-score': 0.5504587155963303, 'support': 316}, '1': {'precision': 0.6151035322777101, 'recall': 0.8092948717948718, 'f1-score': 0.6989619377162629, 'support': 624}, '2': {'precision': 0.6652892561983471, 'recall': 0.45738636363636365, 'f1-score': 0.5420875420875421, 'support': 352}, 'micro avg': {'precision': 0.631578947368421, 'recall': 0.631578947368421, 'f1-score': 0.631578947368421, 'support': 1292}, 'macro avg': {'precision': 0.6451382075123976, 'recall': 0.5804549265783443, 'f1-score': 0.5971693984667117, 'support': 1292}, 'weighted avg': {'precision': 0.6385397228223127, 'recall': 0.631578947368421, 'f1-score': 0.619900942784987, 'support': 1292}}",18.50
4,clf,xgb,basic,ALL_NO_1_1_1,60_180,included,basic,0.65,{'n_estimators': 100},0.64,0.64,0.63,0.63,0.67,316.00,624.00,352.00,"{'0': {'precision': 0.6274509803921569, 'recall': 0.5063291139240507, 'f1-score': 0.5604203152364273, 'support': 316}, '1': {'precision': 0.6283524904214559, 'recall': 0.7884615384615384, 'f1-score': 0.6993603411513859, 'support': 624}, '2': {'precision': 0.6732283464566929, 'recall': 0.48579545454545453, 'f1-score': 0.5643564356435643, 'support': 352}, 'micro avg': {'precision': 0.6369969040247678, 'recall': 0.6369969040247678, 'f1-score': 0.6369969040247678, 'support': 1292}, 'macro avg': {'precision': 0.6430106057567686, 'recall': 0.5935287023103478, 'f1-score': 0.6080456973437925, 'support': 1292}, 'weighted avg': {'precision': 0.6403582366715681, 'recall': 0.6369969040247678, 'f1-score': 0.6285968559130886, 'support': 1292}}",0.86
5,clf,gboosting,basic,ALL_NO_1_1_1,60_180,included,basic,0.65,{'n_estimators': 50},0.64,0.64,0.63,0.63,0.68,316.00,624.00,352.00,"{'0': {'precision': 0.6299212598425197, 'recall': 0.5063291139240507, 'f1-score': 0.5614035087719299, 'support': 316}, '1': {'precision': 0.6304909560723514, 'recall': 0.782051282051282, 'f1-score': 0.698140200286123, 'support': 624}, '2': {'precision': 0.678030303030303, 'recall': 0.5085227272727273, 'f1-score': 0.5811688311688311, 'support': 352}, 'micro avg': {'precision': 0.6400928792569659, 'recall': 0.6400928792569659, 'f1-score': 0.6400928792569659, 'support': 1292}, 'macro avg': {'precision': 0.646147506315058, 'recall': 0.5989677077493533, 'f1-score': 0.6135708467422947, 'support': 1292}, 'weighted avg': {'precision': 0.6433035149892028, 'recall': 0.6400928792569659, 'f1-score': 0.6328285002491479, 'support': 1292}}",2.36
6,clf,ada,basic,ALL_NO_1_1_1,60_180,included,basic,0.64,{'n_estimators': 50},0.64,0.64,0.61,0.64,0.66,316.00,624.00,352.00,"{'0': {'precision': 0.6053639846743295, 'recall': 0.5, 'f1-score': 0.5476603119584056, 'support': 316}, '1': {'precision': 0.635752688172043, 'recall': 0.7580128205128205, 'f1-score': 0.6915204678362573, 'support': 624}, '2': {'precision': 0.662020905923345, 'recall': 0.5397727272727273, 'f1-score': 0.594679186228482, 'support': 352}, 'micro avg': {'precision': 0.6354489164086687, 'recall': 0.6354489164086687, 'f1-score': 0.6354489164086687, 'support': 1292}, 'macro avg': {'precision': 0.6343791929232392, 'recall': 0.5992618492618492, 'f1-score': 0.6112866553410483, 'support': 1292}, 'weighted avg': {'precision': 0.6354768231125855, 'recall': 0.6354489164086687, 'f1-score': 0.62995085453646, 'support': 1292}}",0.72
0,reg,kn,basic,ALL_NO_1_1_1,60_180,included,basic,31.37,{'n_neighbors': 11},,,,,,,,,30.73,5.84
1,reg,svr-rbf,basic,ALL_NO_1_1_1,60_180,included,basic,38.42,"{'C': 5, 'gamma': 1}",,,,,,,,,37.48,6.10
2,reg,dtree,basic,ALL_NO_1_1_1,60_180,included,basic,28.78,"{'max_depth': 4, 'min_samples_leaf': 50}",,,,,,,,,27.43,0.48
