,actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week,datetime_utc,forecast_error_ratio,year,quarter,month,day_name,open_5,close_5,volatility_5,direction_5,open_10,close_10,volatility_10,direction_10,open_15,close_15,volatility_15,direction_15,open_30,close_30,volatility_30,direction_30,open_45,close_45,volatility_45,direction_45,open_60,close_60,volatility_60,direction_60,open_90,close_90,volatility_90,direction_90,open_120,close_120,volatility_120,direction_120
0,57.0,USD,2011-01-03 10:00:00,57.0,accurate,High,ISM Manufacturing PMI,56.6,accurate,1,2011-01-03 15:00:00+00:00,0.0,2011,1,1,Monday,1.3314,1.3307,11.0,down,1.3308,1.3313,8.0,up,1.3314,1.3325,13.0,up,1.3318,1.3318,5.0,down,1.3319,1.3323,13.0,up,1.3354,1.3357,10.0,up,1.3377,1.3374,11.0,down,1.3367,1.3368,4.0,up
1,0.4%,USD,2011-01-03 10:00:00,0.2%,accurate,Low,Construction Spending m/m,0.7%,accurate,1,2011-01-03 15:00:00+00:00,100.0,2011,1,1,Monday,1.3314,1.3307,11.0,down,1.3308,1.3313,8.0,up,1.3314,1.3325,13.0,up,1.3318,1.3318,5.0,down,1.3319,1.3323,13.0,up,1.3354,1.3357,10.0,up,1.3377,1.3374,11.0,down,1.3367,1.3368,4.0,up
2,72.5,USD,2011-01-03 10:00:00,71.2,better,Low,ISM Manufacturing Prices,69.5,accurate,1,2011-01-03 15:00:00+00:00,1.83,2011,1,1,Monday,1.3314,1.3307,11.0,down,1.3308,1.3313,8.0,up,1.3314,1.3325,13.0,up,1.3318,1.3318,5.0,down,1.3319,1.3323,13.0,up,1.3354,1.3357,10.0,up,1.3377,1.3374,11.0,down,1.3367,1.3368,4.0,up
3,12.6M,USD,2011-01-04 00:00:00,12.3M,better,Low,Total Vehicle Sales,12.3M,accurate,1,2011-01-04 05:00:00+00:00,2.44,2011,1,1,Tuesday,1.3355,1.3356,2.0,up,1.3355,1.3343,13.0,down,1.3344,1.3352,11.0,up,1.3354,1.3348,8.0,down,1.3344,1.3347,5.0,up,1.3343,1.3343,3.0,down,1.3333,1.3324,9.0,down,1.334,1.3348,9.0,up
4,0.7%,USD,2011-01-04 10:00:00,-0.1%,better,Medium,Factory Orders m/m,-0.7%,better,1,2011-01-04 15:00:00+00:00,800.0,2011,1,1,Tuesday,1.336,1.3357,10.0,down,1.3356,1.3353,9.0,down,1.3354,1.3352,9.0,down,1.3344,1.3341,10.0,down,1.333,1.3331,10.0,up,1.3322,1.3307,15.0,down,1.3311,1.3311,7.0,down,1.3306,1.3305,6.0,down
5,297K,USD,2011-01-05 08:15:00,101K,better,High,ADP Non-Farm Employment Change,92K,accurate,1,2011-01-05 13:15:00+00:00,194.06,2011,1,1,Wednesday,1.318,1.3183,14.0,up,1.3182,1.3175,12.0,down,1.3174,1.3181,16.0,up,1.3161,1.3166,11.0,up,1.3179,1.3175,11.0,down,1.3152,1.3137,18.0,down,1.3151,1.3152,3.0,up,1.3154,1.3131,27.0,down
6,57.1,USD,2011-01-05 10:00:00,55.6,better,High,ISM Non-Manufacturing PMI,55.0,accurate,1,2011-01-05 15:00:00+00:00,2.7,2011,1,1,Wednesday,1.3151,1.3159,14.0,up,1.3158,1.3155,13.0,down,1.3154,1.3131,27.0,down,1.3128,1.3139,14.0,up,1.3141,1.3149,12.0,up,1.3148,1.3141,11.0,down,1.3157,1.3162,8.0,up,1.3169,1.3161,8.0,down
7,-4.2M,USD,2011-01-05 10:30:00,-1.4M,accurate,Medium,Crude Oil Inventories,-1.3M,accurate,1,2011-01-05 15:30:00+00:00,-200.0,2011,1,1,Wednesday,1.314,1.3139,8.0,down,1.314,1.3142,8.0,up,1.3141,1.3149,12.0,up,1.3148,1.3141,11.0,down,1.3142,1.3149,9.0,up,1.3157,1.3162,8.0,up,1.3169,1.3161,8.0,down,1.3182,1.3176,7.0,down
8,409K,USD,2011-01-06 08:30:00,400K,worse,High,Unemployment Claims,391K,accurate,1,2011-01-06 13:30:00+00:00,2.25,2011,1,1,Thursday,1.3117,1.3107,18.0,down,1.3106,1.3111,13.0,up,1.3112,1.3115,9.0,up,1.3118,1.3117,3.0,down,1.3113,1.3125,16.0,up,1.3119,1.3118,5.0,down,1.3117,1.309,30.0,down,1.306,1.3056,13.0,down
9,-135B,USD,2011-01-06 10:30:00,-135B,accurate,Low,Natural Gas Storage,-136B,accurate,1,2011-01-06 15:30:00+00:00,0.0,2011,1,1,Thursday,1.3057,1.3057,10.0,down,1.3056,1.3055,10.0,down,1.3056,1.3042,17.0,down,1.3034,1.3024,17.0,down,1.3011,1.3011,10.0,down,1.301,1.3014,8.0,up,1.3029,1.3018,11.0,down,1.3017,1.3015,3.0,down
